x,cut,table,carat,price
5.9,1,60.0,0.71,2801.0
5.64,1,58.0,0.71,2801.0
5.69,3,57.0,0.71,2801.0
6.46,3,58.0,1.04,2801.0
6.45,3,58.0,1.0,2801.0
6.19,2,58.0,0.87,2802.0
5.22,4,54.0,0.53,2802.0
5.79,3,55.0,0.72,2802.0
5.83,3,58.0,0.72,2802.0
5.74,2,56.0,0.74,2803.0
5.75,4,56.0,0.71,2803.0
5.84,4,54.0,0.73,2803.0
5.56,1,58.0,0.7,2803.0
5.7,3,58.0,0.71,2803.0
5.85,3,62.0,0.71,2803.0
5.7,3,61.0,0.71,2803.0
5.93,3,57.0,0.77,2803.0
5.81,3,60.0,0.71,2803.0
6.03,3,58.0,0.78,2803.0
5.66,2,55.0,0.71,2803.0
6.21,4,57.0,0.91,2803.0
5.62,2,58.0,0.71,2804.0
5.66,2,57.0,0.71,2804.0
5.88,2,56.0,0.8,2804.0
5.69,2,58.0,0.7,2804.0
5.74,4,57.0,0.72,2804.0
5.75,2,58.0,0.72,2804.0
6.01,4,56.0,0.82,2804.0
5.68,4,59.0,0.7,2804.0
5.74,4,56.0,0.72,2804.0
5.77,4,54.0,0.72,2804.0
5.93,0,59.0,0.9,2804.0
5.85,3,58.0,0.74,2805.0
5.8,3,56.0,0.74,2805.0
5.77,4,58.0,0.73,2805.0
5.75,3,57.0,0.73,2805.0
5.74,4,56.0,0.72,2805.0
5.92,1,57.0,0.82,2805.0
5.89,2,60.0,0.81,2806.0
5.85,2,58.0,0.75,2806.0
5.72,4,55.0,0.7,2806.0
5.66,2,58.0,0.71,2807.0
5.84,2,57.0,0.71,2807.0
6.21,3,57.0,0.93,2807.0
5.87,2,57.0,0.8,2808.0
5.64,2,57.0,0.7,2808.0
6.16,0,59.0,1.0,2808.0
5.78,2,56.0,0.75,2808.0
5.41,4,56.0,0.58,2808.0
5.74,2,57.0,0.73,2808.0
5.85,2,59.0,0.81,2809.0
6.15,3,57.0,0.81,2809.0
5.84,3,54.0,0.71,2809.0
6.73,0,56.0,1.2,2809.0
5.63,2,56.0,0.7,2810.0
5.77,2,60.0,0.7,2810.0
5.81,4,55.0,0.74,2810.0
5.57,1,61.0,0.7,2810.0
5.84,1,57.0,0.8,2810.0
5.72,2,58.0,0.75,2811.0
5.98,2,54.0,0.83,2811.0
6.14,0,59.0,1.0,2811.0
6.21,0,56.0,0.99,2811.0
5.57,2,60.0,0.7,2812.0
5.75,2,58.0,0.7,2812.0
5.49,1,59.0,0.7,2812.0
5.63,2,58.0,0.7,2812.0
4.37,3,58.0,0.32,554.0
4.39,3,58.0,0.32,554.0
4.37,4,57.0,0.32,554.0
4.39,3,59.0,0.32,554.0
4.39,2,56.0,0.32,554.0
4.47,4,57.0,0.32,554.0
4.31,3,59.0,0.3,554.0
4.41,3,55.0,0.3,554.0
4.28,3,58.0,0.3,554.0
4.29,2,56.0,0.3,554.0
4.26,1,55.0,0.3,554.0
4.27,4,57.0,0.3,554.0
4.25,2,60.0,0.3,554.0
4.36,1,55.0,0.32,554.0
4.85,4,56.0,0.33,554.0
4.32,2,58.0,0.31,555.0
4.47,4,56.0,0.34,555.0
4.54,4,57.0,0.34,555.0
4.48,4,55.0,0.34,555.0
4.5,4,56.0,0.34,555.0
4.29,4,56.0,0.3,555.0
4.56,4,56.0,0.35,555.0
4.94,2,62.0,0.43,555.0
4.37,2,58.0,0.32,556.0
4.54,4,56.0,0.36,556.0
4.28,4,56.0,0.3,556.0
5.64,2,58.0,0.7,2812.0
5.66,2,61.0,0.7,2812.0
5.69,4,57.0,0.71,2812.0
6.72,0,61.0,0.99,2812.0
5.92,3,60.0,0.73,2812.0
5.15,4,57.0,0.51,2812.0
6.3,3,58.0,0.91,2813.0
6.0,2,55.0,0.84,2813.0
6.09,1,58.0,0.91,2813.0
5.86,3,59.0,0.76,2814.0
5.88,4,57.0,0.76,2814.0
5.86,3,59.0,0.75,2814.0
5.23,2,56.0,0.55,2815.0
5.93,2,62.0,0.76,2815.0
5.79,3,58.0,0.74,2815.0
5.75,4,56.0,0.7,2815.0
5.7,4,56.0,0.7,2815.0
5.73,4,55.0,0.7,2815.0
5.72,4,56.0,0.7,2815.0
6.08,0,56.0,0.9,2815.0
6.62,0,60.0,0.95,2815.0
6.26,3,59.0,0.89,2815.0
5.99,3,58.0,0.72,2815.0
6.73,0,63.0,0.96,2815.0
6.55,3,58.0,1.02,2815.0
5.91,2,56.0,0.78,2816.0
5.52,4,57.0,0.61,2816.0
5.61,1,55.0,0.71,2816.0
5.96,3,59.0,0.78,2816.0
6.16,4,56.0,0.87,2816.0
6.04,4,55.0,0.83,2816.0
5.78,3,56.0,0.71,2817.0
5.84,4,56.0,0.71,2817.0
5.66,4,57.0,0.71,2817.0
5.69,3,58.0,0.71,2817.0
5.48,4,56.0,0.63,2817.0
5.86,3,59.0,0.71,2817.0
5.75,3,59.0,0.71,2817.0
5.77,4,55.0,0.71,2817.0
5.77,3,58.0,0.71,2817.0
6.2,4,55.0,0.9,2817.0
5.66,3,61.0,0.7,2818.0
5.78,3,60.0,0.7,2818.0
5.64,3,60.0,0.7,2818.0
6.43,3,60.0,1.0,2818.0
6.36,3,62.0,0.86,2818.0
6.07,4,57.0,0.8,2818.0
5.66,4,57.0,0.7,2818.0
5.91,3,57.0,0.7,2818.0
5.69,3,60.0,0.7,2818.0
5.68,3,57.0,0.7,2818.0
6.34,0,62.0,1.0,2818.0
5.64,2,58.0,0.72,2819.0
5.73,4,56.0,0.72,2819.0
5.76,1,63.0,0.7,2819.0
5.97,1,60.0,0.86,2819.0
5.66,4,58.0,0.71,2820.0
5.8,4,57.0,0.75,2821.0
5.77,3,59.0,0.73,2821.0
5.2,4,55.0,0.53,2821.0
5.83,3,58.0,0.73,2821.0
5.72,1,57.0,0.73,2821.0
5.92,3,61.0,0.73,2821.0
5.77,3,59.0,0.73,2821.0
5.84,3,55.0,0.73,2821.0
5.76,2,58.0,0.73,2821.0
5.74,3,60.0,0.7,2822.0
5.84,3,59.0,0.72,2822.0
5.8,3,60.0,0.72,2822.0
5.77,3,59.0,0.72,2822.0
5.73,3,60.0,0.7,2822.0
5.37,4,55.0,0.6,2822.0
5.85,4,57.0,0.74,2822.0
5.75,4,55.0,0.73,2822.0
5.71,3,60.0,0.71,2822.0
5.75,3,58.0,0.71,2822.0
5.82,3,60.0,0.7,2822.0
5.75,4,56.0,0.7,2822.0
6.04,1,61.0,0.9,2822.0
5.86,4,56.0,0.71,2822.0
5.73,3,59.0,0.7,2822.0
5.71,3,56.0,0.7,2822.0
5.82,4,58.0,0.7,2822.0
5.62,4,57.0,0.7,2822.0
5.73,4,56.0,0.7,2822.0
5.72,3,62.0,0.7,2822.0
5.8,3,58.0,0.7,2822.0
5.75,4,54.0,0.7,2822.0
5.86,2,59.0,0.79,2823.0
6.06,1,57.0,0.9,2823.0
5.71,3,58.0,0.71,2823.0
5.51,4,54.0,0.61,2823.0
6.05,0,54.0,0.9,2823.0
5.77,4,56.0,0.71,2823.0
5.74,3,59.0,0.71,2824.0
5.84,4,57.0,0.77,2824.0
5.73,1,58.0,0.74,2824.0
6.02,4,54.0,0.82,2824.0
6.05,3,60.0,0.82,2824.0
5.73,3,59.0,0.71,2825.0
6.08,3,59.0,0.83,2825.0
5.75,2,57.0,0.73,2825.0
6.02,3,59.0,0.83,2825.0
6.9,3,61.0,1.17,2825.0
5.75,3,60.0,0.73,2826.0
5.94,1,59.0,0.7,2826.0
6.11,3,59.0,0.9,2826.0
5.66,3,58.0,0.7,2826.0
5.6,2,56.0,0.7,2826.0
5.78,3,61.0,0.7,2826.0
6.17,2,56.0,0.9,2826.0
5.97,3,60.0,0.78,2826.0
6.41,4,55.0,0.96,2826.0
5.67,2,59.0,0.7,2827.0
5.68,1,54.0,0.72,2827.0
5.96,3,58.0,0.79,2827.0
5.69,4,57.0,0.7,2827.0
5.66,4,55.0,0.7,2827.0
5.74,4,57.0,0.7,2828.0
6.39,3,61.0,1.01,2828.0
5.75,3,58.0,0.72,2829.0
5.91,1,54.0,0.8,2829.0
5.36,4,56.0,0.59,2829.0
5.77,4,57.0,0.72,2829.0
5.88,3,57.0,0.75,2829.0
6.05,3,57.0,0.8,2829.0
5.65,2,59.0,0.71,2830.0
5.84,2,56.0,0.77,2830.0
6.41,4,56.0,0.97,2830.0
5.23,4,57.0,0.53,2830.0
5.16,4,57.0,0.53,2830.0
5.94,4,54.4,0.8,2830.0
6.21,3,62.0,0.9,2830.0
5.89,2,60.0,0.76,2831.0
5.7,4,57.0,0.72,2831.0
5.82,4,57.0,0.75,2831.0
5.73,3,58.0,0.72,2831.0
5.93,4,56.0,0.79,2831.0
5.71,2,58.0,0.72,2832.0
6.15,2,61.0,0.91,2832.0
5.75,3,57.0,0.71,2832.0
5.87,3,60.0,0.81,2832.0
5.91,4,57.0,0.82,2832.0
5.72,3,58.0,0.71,2832.0
6.05,1,63.0,0.9,2832.0
5.86,2,58.0,0.8,2833.0
5.28,2,59.0,0.56,2833.0
5.77,2,61.0,0.7,2833.0
5.74,4,57.0,0.7,2833.0
5.45,4,55.0,0.61,2833.0
6.02,4,57.0,0.85,2833.0
5.73,4,57.0,0.7,2833.0
5.94,4,56.0,0.8,2834.0
5.91,4,57.0,0.8,2834.0
5.16,2,58.0,0.51,2834.0
5.2,4,57.0,0.53,2834.0
5.92,4,55.0,0.78,2834.0
6.17,2,54.0,0.9,2834.0
6.07,0,59.0,0.9,2834.0
6.01,4,55.0,0.77,2834.0
5.89,4,56.0,0.73,2835.0
5.47,4,57.0,0.63,2835.0
5.7,4,54.0,0.7,2835.0
5.71,4,57.0,0.72,2835.0
5.78,4,57.0,0.72,2835.0
6.04,3,59.0,0.75,2835.0
6.04,2,56.0,0.82,2836.0
5.6,1,60.0,0.71,2836.0
5.69,3,59.0,0.7,2837.0
5.74,4,56.0,0.7,2837.0
5.86,4,53.0,0.71,2838.0
5.92,2,55.0,0.76,2838.0
5.83,0,58.0,0.82,2838.0
5.91,3,60.0,0.72,2838.0
5.72,3,58.0,0.7,2838.0
5.69,3,58.0,0.7,2838.0
5.73,3,55.0,0.7,2838.0
5.83,3,61.0,0.7,2838.0
5.53,2,59.0,0.7,2838.0
5.71,3,61.0,0.7,2838.0
5.85,3,58.0,0.7,2838.0
5.64,3,60.0,0.7,2838.0
5.85,2,57.0,0.74,2839.0
5.74,4,57.0,0.71,2839.0
5.75,4,54.0,0.7,2839.0
5.82,4,55.0,0.71,2839.0
5.84,3,61.0,0.71,2839.0
5.82,3,60.0,0.71,2839.0
5.75,3,58.0,0.71,2839.0
5.73,4,53.0,0.7,2839.0
5.8,4,54.0,0.73,2839.0
5.69,4,54.0,0.7,2839.0
5.71,4,57.0,0.7,2839.0
5.82,3,58.0,0.71,2839.0
5.87,3,58.0,0.71,2839.0
6.09,3,62.0,0.79,2839.0
5.7,3,59.0,0.71,2839.0
5.9,2,60.0,0.77,2840.0
5.85,2,56.0,0.75,2840.0
5.75,4,56.0,0.7,2840.0
5.88,3,56.0,0.71,2840.0
6.27,4,56.0,0.92,2840.0
6.08,3,59.0,0.83,2840.0
5.87,3,60.0,0.7,2840.0
5.9,3,59.0,0.73,2841.0
5.69,2,55.0,0.71,2841.0
5.66,2,57.0,0.73,2841.0
6.0,4,53.0,0.82,2841.0
5.96,4,56.0,0.82,2841.0
6.12,2,57.0,0.82,2841.0
5.19,4,56.0,0.52,2841.0
6.6,3,60.0,1.0,2841.0
6.16,0,56.0,0.95,2841.0
5.76,4,57.0,0.73,2841.0
5.87,3,59.0,0.73,2841.0
5.82,3,58.0,0.73,2841.0
5.92,4,54.0,0.8,2842.0
5.8,3,61.0,0.7,2842.0
5.71,2,62.0,0.7,2843.0
5.65,2,58.0,0.7,2843.0
5.76,2,58.0,0.71,2843.0
5.91,2,58.0,0.81,2843.0
5.73,2,58.0,0.71,2843.0
5.81,4,57.0,0.73,2843.0
5.73,2,59.0,0.73,2843.0
5.71,4,57.0,0.72,2843.0
5.91,4,57.0,0.81,2843.0
5.81,4,57.0,0.71,2843.0
5.92,2,61.0,0.73,2844.0
5.65,2,59.0,0.7,2844.0
6.45,4,57.0,1.01,2844.0
6.35,1,57.0,1.01,2844.0
5.91,4,57.0,0.79,2844.0
5.65,2,59.0,0.7,2845.0
5.83,2,60.0,0.7,2845.0
5.92,1,60.0,0.8,2845.0
7.12,3,61.0,1.27,2845.0
5.96,4,56.0,0.79,2846.0
5.79,2,59.0,0.72,2846.0
5.79,4,56.0,0.73,2846.0
6.3,0,59.0,1.01,2846.0
6.25,1,61.0,1.01,2846.0
5.92,4,59.0,0.73,2846.0
5.71,4,57.0,0.7,2846.0
5.76,1,61.0,0.7,2846.0
5.84,3,59.0,0.77,2846.0
5.91,3,60.0,0.77,2846.0
5.94,3,58.0,0.77,2846.0
6.1,2,57.0,0.84,2847.0
5.83,4,57.0,0.72,2847.0
5.93,3,59.0,0.76,2847.0
5.61,2,59.0,0.7,2848.0
5.25,4,55.0,0.54,2848.0
5.74,0,57.0,0.75,2848.0
5.86,1,54.0,0.79,2849.0
5.75,2,58.0,0.74,2849.0
5.74,2,60.0,0.7,2850.0
5.69,4,59.0,0.7,2850.0
5.83,4,56.0,0.75,2850.0
6.75,2,60.0,1.2,2850.0
5.89,2,57.0,0.8,2851.0
5.54,4,56.0,0.66,2851.0
6.22,2,63.0,0.87,2851.0
6.04,3,59.0,0.86,2851.0
5.85,4,57.0,0.74,2851.0
5.37,2,59.0,0.58,2852.0
5.88,4,57.0,0.78,2852.0
5.85,4,55.0,0.74,2852.0
5.7,4,55.0,0.73,2852.0
6.12,2,57.0,0.91,2852.0
5.67,3,58.0,0.71,2853.0
5.64,1,55.0,0.71,2853.0
5.9,4,57.0,0.79,2853.0
6.07,3,60.0,0.79,2853.0
5.73,3,58.0,0.71,2853.0
5.99,3,58.0,0.82,2853.0
5.87,2,57.1,0.78,2854.0
5.64,2,56.0,0.7,2854.0
6.78,3,61.0,1.12,2854.0
5.86,3,57.0,0.73,2854.0
6.06,0,62.0,0.91,2854.0
6.04,0,60.0,0.91,2854.0
6.12,1,58.0,0.91,2854.0
6.04,0,58.0,0.91,2854.0
5.91,3,59.0,0.7,2854.0
5.67,3,57.0,0.68,2854.0
5.7,2,57.0,0.73,2855.0
6.38,1,57.0,1.03,2855.0
5.8,3,57.0,0.74,2855.0
6.84,0,63.0,1.02,2856.0
5.96,0,61.0,1.0,2856.0
6.49,4,55.0,1.02,2856.0
5.44,4,57.0,0.6,2856.0
5.97,4,56.0,0.8,2856.0
6.43,4,56.0,0.97,2856.0
6.19,0,62.0,1.0,2856.0
4.57,4,55.0,0.36,556.0
4.6,1,61.0,0.34,556.0
4.44,1,57.0,0.34,556.0
4.44,1,55.0,0.34,556.0
4.44,1,55.0,0.34,556.0
4.54,2,62.0,0.34,556.0
4.47,4,54.0,0.34,556.0
4.34,1,54.0,0.32,556.0
4.36,4,55.0,0.31,557.0
4.36,4,56.0,0.31,557.0
4.37,4,54.0,0.31,557.0
4.37,4,54.0,0.31,557.0
4.33,4,53.0,0.31,557.0
4.36,4,53.0,0.31,557.0
4.32,4,53.6,0.31,557.0
4.35,4,54.8,0.31,557.0
4.33,4,54.2,0.31,557.0
4.52,3,59.0,0.33,557.0
4.43,3,58.0,0.33,557.0
4.42,3,58.0,0.33,557.0
4.45,4,56.0,0.33,557.0
4.42,3,58.0,0.33,557.0
4.41,3,58.0,0.33,557.0
4.46,3,61.0,0.33,557.0
4.44,4,55.0,0.33,557.0
4.39,4,57.0,0.33,557.0
4.43,1,53.0,0.33,557.0
4.54,3,59.0,0.33,557.0
6.21,0,56.0,1.0,2856.0
5.92,3,59.0,0.77,2856.0
5.94,3,58.0,0.77,2856.0
5.68,1,63.0,0.7,2857.0
6.08,2,58.0,0.9,2857.0
5.76,4,57.0,0.72,2857.0
6.2,3,59.0,0.9,2857.0
5.76,3,58.0,0.72,2857.0
5.63,4,56.0,0.7,2858.0
6.02,2,57.0,0.81,2858.0
6.0,2,57.0,0.81,2858.0
5.76,3,60.0,0.71,2858.0
5.73,3,59.0,0.7,2858.0
5.76,3,60.0,0.71,2858.0
5.68,2,59.0,0.71,2858.0
6.22,3,58.0,0.92,2858.0
5.88,4,54.0,0.76,2858.0
5.84,4,56.0,0.73,2858.0
5.74,3,62.0,0.71,2858.0
5.61,1,62.0,0.7,2858.0
6.06,0,56.0,0.9,2858.0
5.76,4,57.0,0.7,2859.0
5.72,3,56.0,0.7,2859.0
5.91,3,60.0,0.77,2859.0
5.74,4,56.0,0.71,2859.0
5.8,3,61.0,0.7,2859.0
6.17,3,60.0,0.83,2859.0
5.68,2,61.0,0.71,2860.0
6.07,2,58.0,0.9,2860.0
5.41,4,54.9,0.6,2860.0
5.66,3,57.0,0.71,2860.0
5.23,4,57.0,0.53,2860.0
5.95,3,58.0,0.71,2861.0
5.45,4,56.0,0.62,2861.0
5.48,4,56.0,0.62,2861.0
6.09,3,58.0,0.9,2861.0
5.53,0,61.0,0.62,2861.0
6.01,3,59.0,0.82,2861.0
5.67,3,58.0,0.66,2861.0
5.67,2,55.0,0.7,2862.0
5.9,2,58.0,0.8,2862.0
5.88,2,59.0,0.8,2862.0
5.97,3,54.0,0.79,2862.0
5.65,2,60.0,0.71,2862.0
5.71,4,57.0,0.7,2862.0
5.73,2,63.0,0.7,2862.0
6.07,3,60.0,0.79,2862.0
5.82,3,59.0,0.7,2862.0
6.93,3,57.0,1.22,2862.0
6.21,0,57.0,1.01,2862.0
5.78,3,61.0,0.73,2862.0
6.05,1,58.0,0.91,2863.0
5.8,4,56.0,0.71,2863.0
6.01,3,58.0,0.83,2863.0
6.06,3,59.0,0.84,2863.0
5.82,3,61.0,0.71,2863.0
5.82,3,59.0,0.71,2863.0
5.8,3,56.0,0.71,2863.0
5.75,4,57.0,0.71,2863.0
5.79,3,58.0,0.71,2863.0
5.79,3,58.0,0.71,2863.0
6.4,3,62.0,0.91,2863.0
6.24,3,62.0,0.9,2863.0
5.74,3,62.0,0.71,2863.0
5.84,3,61.0,0.71,2863.0
5.91,4,57.0,0.72,2863.0
5.78,3,60.0,0.72,2863.0
5.79,4,55.0,0.71,2863.0
6.07,4,57.0,0.81,2864.0
6.05,2,58.0,0.83,2865.0
5.87,3,55.0,0.73,2865.0
5.25,2,56.0,0.56,2866.0
5.27,2,55.0,0.56,2866.0
5.74,4,55.0,0.71,2866.0
5.66,4,58.0,0.7,2866.0
6.39,3,58.0,0.96,2866.0
5.67,2,57.0,0.71,2867.0
5.68,4,57.0,0.7,2867.0
5.78,4,57.0,0.71,2867.0
6.05,3,53.0,0.8,2867.0
6.49,3,57.0,0.95,2867.0
5.99,4,56.0,0.82,2867.0
5.21,4,56.0,0.52,2867.0
6.12,4,53.0,0.82,2867.0
6.02,4,56.0,0.82,2867.0
6.14,3,57.0,0.82,2867.0
