x,y,z,cut,color,clarity,table,carat,depth,price
6.01,6.07,3.62,4,4,1,59.0,0.8,59.9,2762.0
5.73,5.69,3.56,4,6,1,56.0,0.71,62.3,2762.0
5.8,5.83,3.62,4,5,2,54.0,0.74,62.3,2762.0
5.64,5.61,3.47,2,4,3,63.0,0.7,61.7,2762.0
5.57,5.53,3.58,0,4,3,57.0,0.7,64.5,2762.0
5.63,5.58,3.66,0,4,3,55.0,0.7,65.3,2762.0
5.65,5.59,3.46,3,4,3,60.0,0.7,61.6,2762.0
6.09,5.97,3.7,3,2,2,56.0,0.91,61.4,2763.0
5.56,5.58,3.32,2,6,5,57.0,0.61,59.6,2763.0
6.11,6.09,3.93,0,2,1,57.0,0.91,64.4,2763.0
6.03,5.99,3.95,0,2,1,60.0,0.91,65.7,2763.0
5.89,5.86,3.64,4,2,3,56.0,0.77,62.0,2763.0
5.64,5.68,3.6,2,6,2,58.0,0.71,63.6,2764.0
5.69,5.72,3.53,4,6,2,59.0,0.71,61.9,2764.0
5.62,5.65,3.53,2,5,3,60.0,0.7,62.6,2765.0
5.88,5.9,3.61,2,2,4,60.0,0.77,61.3,2765.0
5.52,5.55,3.37,3,5,6,60.0,0.63,60.9,2765.0
5.74,5.77,3.46,2,4,4,62.0,0.71,60.1,2765.0
5.69,5.73,3.53,3,4,4,59.0,0.71,61.8,2765.0
5.88,5.91,3.61,4,2,2,57.0,0.76,61.2,2765.0
5.53,5.56,3.43,4,3,6,56.0,0.64,61.9,2766.0
5.78,5.75,3.51,3,3,3,57.0,0.71,60.9,2766.0
5.89,5.81,3.5,3,3,3,56.0,0.71,59.8,2766.0
5.68,5.72,3.52,2,6,3,55.0,0.7,61.8,2767.0
5.8,5.87,3.5,2,4,4,57.0,0.7,60.0,2767.0
5.74,5.76,3.54,4,6,1,55.0,0.71,61.6,2767.0
5.52,5.61,3.52,2,3,4,59.0,0.71,63.3,2768.0
5.83,5.87,3.52,2,6,2,56.0,0.73,60.2,2768.0
5.66,5.73,3.48,2,6,2,58.0,0.7,61.1,2768.0
5.73,5.76,3.5,4,5,2,57.0,0.7,60.9,2768.0
5.71,5.67,3.51,3,6,1,59.0,0.71,61.7,2768.0
5.82,5.86,3.57,4,1,2,56.0,0.74,61.3,2769.0
5.65,5.61,3.52,3,6,3,60.0,0.71,62.5,2770.0
5.83,5.76,3.56,3,3,3,59.0,0.73,61.4,2770.0
5.79,5.81,3.65,2,4,2,57.0,0.76,62.9,2770.0
5.78,5.83,3.62,4,6,1,57.0,0.76,62.4,2770.0
5.77,5.8,3.51,4,4,2,56.0,0.71,60.7,2770.0
5.87,5.82,3.55,3,3,3,58.0,0.73,60.7,2770.0
5.79,5.75,3.55,3,3,4,58.0,0.73,61.5,2770.0
5.92,5.89,3.54,4,6,1,57.0,0.73,59.9,2770.0
5.92,5.87,3.49,3,3,3,59.0,0.73,59.2,2770.0
5.81,5.83,3.51,2,2,5,56.0,0.72,60.3,2771.0
5.79,5.82,3.58,2,4,2,60.0,0.73,61.7,2771.0
5.73,5.77,3.56,4,3,3,57.0,0.71,61.9,2771.0
5.97,5.92,3.68,4,4,1,55.0,0.79,61.9,2771.0
5.83,5.89,3.54,2,2,6,59.0,0.73,60.4,2772.0
6.01,6.03,3.67,2,4,1,57.0,0.8,61.0,2772.0
5.39,5.44,3.33,4,3,6,55.0,0.58,61.5,2772.0
5.33,5.37,3.3,4,4,6,56.0,0.58,61.7,2772.0
5.8,5.88,3.46,1,5,3,61.0,0.71,59.2,2772.0
5.85,5.89,3.6,4,6,1,56.0,0.75,61.3,2773.0
5.87,5.78,3.38,3,6,3,62.0,0.7,58.0,2773.0
6.83,6.9,4.13,2,0,0,61.0,1.17,60.2,2774.0
5.41,5.44,3.35,4,5,4,55.0,0.6,61.7,2774.0
5.68,5.74,3.58,4,5,2,55.0,0.7,62.7,2774.0
5.85,5.88,3.79,1,1,3,54.0,0.83,64.6,2774.0
5.8,5.84,3.57,2,4,3,61.0,0.74,61.3,2775.0
5.62,5.69,3.61,2,3,3,56.4,0.72,63.7,2776.0
5.74,5.68,3.58,3,5,3,58.0,0.71,62.7,2776.0
5.79,5.62,3.55,4,5,3,57.0,0.71,62.2,2776.0
5.25,5.27,3.24,4,5,5,56.0,0.54,61.6,2776.0
5.24,5.26,3.23,4,5,5,57.0,0.54,61.5,2776.0
5.72,5.75,3.55,4,3,2,56.0,0.72,61.8,2776.0
5.79,5.82,3.53,4,3,2,56.0,0.72,60.7,2776.0
5.8,5.84,3.47,1,3,3,60.5,0.72,59.7,2776.0
5.8,5.76,3.5,4,3,2,56.0,0.71,60.5,2776.0
5.66,5.73,3.57,2,6,4,58.0,0.7,62.7,2777.0
5.67,5.7,3.53,3,4,3,58.0,0.71,62.1,2777.0
5.64,5.69,3.56,2,4,3,57.0,0.71,62.8,2777.0
5.61,5.64,3.59,1,4,3,58.0,0.71,63.8,2777.0
5.87,5.9,3.4,1,4,3,60.0,0.71,57.8,2777.0
5.7,5.67,3.53,4,5,3,55.0,0.7,62.1,2777.0
5.71,5.64,3.47,3,5,3,60.0,0.7,61.1,2777.0
5.79,5.75,3.46,3,5,2,59.0,0.7,60.0,2777.0
5.73,5.68,3.49,3,5,2,57.0,0.7,61.2,2777.0
5.67,5.63,3.54,3,5,2,59.0,0.7,62.7,2777.0
5.73,5.68,3.48,3,5,2,57.0,0.7,61.0,2777.0
5.78,5.72,3.51,3,5,2,58.0,0.7,61.0,2777.0
5.76,5.7,3.52,4,5,2,57.0,0.7,61.4,2777.0
5.82,5.71,3.56,3,4,2,61.0,0.72,61.8,2777.0
5.76,5.7,3.43,2,5,2,63.0,0.7,59.9,2777.0
5.71,5.68,3.49,3,5,2,58.0,0.7,61.3,2777.0
5.77,5.74,3.48,3,5,2,58.0,0.7,60.5,2777.0
5.64,5.59,3.6,1,5,3,59.0,0.7,64.1,2777.0
6.05,5.97,4.08,0,2,1,60.0,0.98,67.9,2777.0
5.83,5.8,3.63,3,4,2,58.0,0.78,62.4,2777.0
5.6,5.51,3.51,2,5,2,60.0,0.7,63.2,2777.0
5.19,5.22,3.19,4,4,6,55.0,0.52,61.3,2778.0
5.82,5.84,3.55,2,2,3,56.0,0.73,60.8,2779.0
5.84,5.8,3.59,4,5,2,56.0,0.74,61.7,2779.0
5.61,5.65,3.58,2,4,3,57.0,0.7,63.6,2780.0
5.9,5.93,3.62,3,3,3,58.0,0.77,61.2,2780.0
5.68,5.72,3.54,4,4,3,54.0,0.71,62.1,2780.0
5.81,5.86,3.59,4,3,4,55.0,0.74,61.5,2780.0
5.64,5.73,3.49,4,3,4,59.0,0.7,61.4,2780.0
6.39,6.36,3.94,3,4,0,60.0,1.01,61.8,2781.0
5.83,5.88,3.64,4,2,2,56.0,0.77,62.2,2781.0
5.92,5.99,3.64,4,2,2,56.0,0.78,61.2,2781.0
5.83,5.76,3.51,2,2,4,63.0,0.72,60.6,2782.0
5.9,5.94,3.63,4,3,3,56.0,0.76,61.3,2782.0
5.81,5.77,3.31,1,5,4,62.0,0.7,57.2,2782.0
5.62,5.54,3.51,3,5,4,60.0,0.7,62.9,2782.0
5.78,5.73,3.63,2,6,1,58.0,0.75,63.1,2782.0
5.76,5.75,3.5,4,6,2,57.0,0.72,60.8,2782.0
5.73,5.69,3.58,3,6,2,59.0,0.72,62.7,2782.0
5.68,5.66,3.56,3,6,2,60.0,0.7,62.8,2782.0
5.88,5.85,3.6,3,4,2,59.0,0.75,61.4,2782.0
5.14,5.18,3.21,4,4,7,55.0,0.52,62.2,2783.0
5.69,5.73,3.6,2,4,3,54.0,0.72,63.0,2784.0
5.85,5.92,3.75,2,2,4,56.0,0.79,63.7,2784.0
5.66,5.69,3.61,2,4,3,58.0,0.72,63.6,2787.0
5.11,5.15,3.18,4,4,6,57.0,0.51,62.0,2787.0
5.54,5.55,3.41,4,6,4,56.0,0.64,61.5,2787.0
5.74,5.77,3.48,2,2,6,60.0,0.7,60.5,2788.0
6.07,6.1,3.72,2,1,4,60.0,0.83,61.1,2788.0
5.85,5.87,3.62,4,1,5,56.0,0.76,61.8,2788.0
5.64,5.68,3.58,1,6,3,56.0,0.71,63.3,2788.0
5.71,5.65,3.55,4,4,2,55.0,0.71,62.5,2788.0
6.29,6.21,4.03,0,5,0,58.0,1.01,64.5,2788.0
6.31,6.22,3.93,3,2,1,59.0,1.01,62.7,2788.0
5.76,5.85,3.7,1,5,2,54.0,0.76,63.7,2789.0
5.92,5.94,3.58,3,5,2,58.0,0.76,60.4,2789.0
5.82,5.86,3.61,3,5,2,58.0,0.76,61.8,2789.0
6.49,6.45,4.09,2,0,1,56.0,1.05,63.2,2789.0
5.97,6.01,3.69,4,3,1,56.0,0.81,61.6,2789.0
5.72,5.75,3.53,4,5,2,56.0,0.7,61.6,2789.0
5.28,5.3,3.22,4,3,7,57.0,0.55,60.9,2789.0
5.94,5.99,3.64,1,3,1,61.0,0.81,61.0,2789.0
5.48,5.41,3.38,3,5,5,57.0,0.63,62.1,2789.0
5.55,5.52,3.37,3,5,6,60.0,0.63,60.9,2789.0
5.9,5.88,3.61,3,2,4,60.0,0.77,61.3,2789.0
6.41,6.27,4.18,0,0,1,59.0,1.05,65.8,2789.0
5.54,5.58,3.41,4,3,7,56.0,0.64,61.3,2790.0
6.0,5.94,3.51,3,1,6,59.0,0.76,58.8,2790.0
6.02,6.05,3.76,4,4,1,55.0,0.83,62.3,2790.0
5.77,5.74,3.46,3,4,4,62.0,0.71,60.1,2790.0
5.73,5.69,3.53,3,4,4,59.0,0.71,61.8,2790.0
6.07,6.1,3.87,2,1,2,55.8,0.87,63.6,2791.0
5.74,5.78,3.58,4,5,2,56.0,0.73,62.2,2791.0
5.83,5.86,3.46,3,5,2,59.0,0.71,59.2,2792.0
5.7,5.75,3.54,3,5,2,59.0,0.71,61.8,2792.0
5.72,5.77,3.52,4,5,2,55.0,0.71,61.3,2792.0
5.71,5.65,3.53,3,4,4,60.0,0.7,62.1,2792.0
5.78,5.75,3.5,3,4,4,60.0,0.7,60.7,2792.0
5.91,5.86,3.51,3,2,5,57.0,0.76,59.6,2792.0
5.73,5.68,3.55,4,4,4,56.0,0.7,62.2,2792.0
5.98,6.06,3.65,2,3,2,57.0,0.79,60.6,2793.0
5.66,5.69,3.57,2,5,3,57.0,0.7,62.9,2793.0
5.6,5.66,3.61,1,5,3,55.0,0.7,64.1,2793.0
5.87,5.91,3.61,4,1,3,56.0,0.76,61.3,2793.0
5.72,5.76,3.6,4,2,3,55.0,0.73,62.7,2793.0
5.91,5.86,3.72,2,5,2,56.0,0.79,63.2,2794.0
5.81,5.82,3.53,2,5,3,56.0,0.71,60.7,2795.0
5.91,5.86,3.64,3,1,5,60.0,0.81,61.9,2795.0
5.92,5.96,3.72,4,4,1,55.0,0.81,62.6,2795.0
5.74,5.72,3.48,1,4,4,60.0,0.72,60.7,2795.0
5.73,5.69,3.54,3,6,1,60.0,0.72,62.0,2795.0
5.72,5.7,3.6,3,1,7,57.0,0.72,63.0,2795.0
6.17,6.13,3.57,3,2,3,59.0,0.81,58.0,2795.0
5.73,5.65,3.58,3,3,3,57.0,0.72,62.9,2795.0
6.61,6.55,3.83,3,1,1,60.0,1.0,58.2,2795.0
5.7,5.76,3.62,1,5,2,58.0,0.73,63.2,2796.0
5.94,6.01,3.66,2,2,1,59.0,0.81,61.3,2797.0
6.07,6.1,3.67,2,5,2,60.0,0.81,60.3,2797.0
5.67,5.71,3.57,3,6,2,60.0,0.71,62.7,2797.0
5.73,5.75,3.52,3,6,2,58.0,0.71,61.3,2797.0
5.74,5.69,3.52,3,6,2,60.0,0.71,61.6,2797.0
5.34,5.35,3.31,4,4,5,55.0,0.57,61.9,2797.0
5.12,5.16,3.17,4,6,6,56.0,0.51,61.7,2797.0
5.72,5.75,3.55,4,3,3,58.0,0.72,61.9,2797.0
5.77,5.81,3.58,4,2,4,58.0,0.74,61.8,2797.0
5.81,5.82,3.58,4,2,4,56.0,0.74,61.6,2797.0
6.03,6.01,3.67,3,4,1,57.0,0.8,61.0,2797.0
6.19,6.05,4.13,0,5,1,60.0,1.01,67.4,2797.0
5.92,5.82,3.72,2,2,3,60.0,0.8,63.4,2797.0
5.87,5.91,3.62,4,1,4,59.0,0.77,61.5,2798.0
6.19,6.25,3.61,2,5,1,62.0,0.83,58.0,2799.0
5.97,6.02,3.74,4,4,1,54.0,0.82,62.4,2799.0
5.91,5.86,3.64,4,6,2,57.0,0.78,61.9,2799.0
5.43,5.46,3.35,2,3,7,56.0,0.6,61.6,2800.0
6.07,6.11,3.79,1,1,1,59.0,0.9,62.2,2800.0
5.6,5.66,3.5,3,5,4,58.0,0.7,62.2,2800.0
6.17,6.23,3.8,2,1,1,56.0,0.9,61.3,2800.0
5.99,6.08,3.76,4,3,2,57.0,0.83,62.3,2800.0
6.03,6.07,3.74,4,3,2,57.0,0.83,61.8,2800.0
5.95,6.02,3.74,2,2,2,59.0,0.83,62.5,2800.0
5.74,5.68,3.59,3,3,4,60.0,0.74,62.9,2800.0
5.92,5.95,3.67,4,1,4,59.0,0.79,61.8,2800.0
5.43,5.45,3.39,4,3,7,56.0,0.61,62.3,2800.0
6.37,6.41,3.88,4,4,0,55.0,0.96,60.7,2801.0
5.8,5.76,3.61,4,4,3,55.0,0.73,62.5,2801.0
5.76,5.7,3.59,3,4,3,58.0,0.73,62.7,2801.0
5.93,5.96,3.59,4,2,2,57.0,0.75,60.4,2801.0
5.7,5.67,3.53,3,4,3,58.0,0.71,62.1,2801.0
5.9,5.87,3.4,1,4,3,60.0,0.71,57.8,2801.0
5.64,5.61,3.59,1,4,3,58.0,0.71,63.8,2801.0
5.69,5.64,3.56,3,4,3,57.0,0.71,62.8,2801.0
6.46,6.41,4.0,3,3,0,58.0,1.04,62.2,2801.0
6.45,6.34,3.98,3,0,1,58.0,1.0,62.3,2801.0
6.19,6.23,3.72,2,3,1,58.0,0.87,59.9,2802.0
5.22,5.25,3.24,4,4,7,54.0,0.53,61.9,2802.0
5.79,5.61,3.59,3,5,3,55.0,0.72,63.0,2802.0
5.83,5.7,3.6,3,4,4,58.0,0.72,62.4,2802.0
5.74,5.79,3.66,2,5,2,56.0,0.74,63.5,2803.0
5.75,5.71,3.51,4,3,3,56.0,0.71,61.3,2803.0
5.84,5.89,3.55,4,5,2,54.0,0.73,60.6,2803.0
5.56,5.59,3.63,1,3,4,58.0,0.7,65.1,2803.0
5.7,5.67,3.56,3,4,3,58.0,0.71,62.6,2803.0
5.85,5.81,3.38,3,4,3,62.0,0.71,58.0,2803.0
5.7,5.65,3.54,3,3,4,61.0,0.71,62.4,2803.0
5.93,5.88,3.62,3,3,3,57.0,0.77,61.3,2803.0
5.81,5.77,3.47,3,3,3,60.0,0.71,59.9,2803.0
6.03,5.95,3.64,3,3,3,58.0,0.78,60.8,2803.0
5.66,5.64,3.59,2,3,4,55.0,0.71,63.5,2803.0
6.21,6.15,3.85,4,6,1,57.0,0.91,62.2,2803.0
5.62,5.66,3.6,2,5,3,58.0,0.71,63.8,2804.0
5.66,5.68,3.63,2,5,3,57.0,0.71,64.0,2804.0
5.88,5.96,3.7,2,5,1,56.0,0.8,62.5,2804.0
5.69,5.73,3.56,2,6,2,58.0,0.7,62.3,2804.0
5.74,5.77,3.55,4,4,4,57.0,0.72,61.7,2804.0
5.75,5.7,3.56,2,4,4,58.0,0.72,62.2,2804.0
6.01,6.08,3.72,4,2,3,56.0,0.82,61.5,2804.0
5.68,5.7,3.47,4,6,2,59.0,0.7,61.0,2804.0
5.74,5.77,3.58,4,6,2,56.0,0.72,62.2,2804.0
5.77,5.8,3.56,4,6,2,54.0,0.72,61.5,2804.0
5.93,5.84,3.96,0,1,2,59.0,0.9,67.3,2804.0
5.85,5.78,3.59,3,4,3,58.0,0.74,61.7,2805.0
5.8,5.77,3.58,3,4,3,56.0,0.74,61.9,2805.0
5.77,5.81,3.58,4,5,1,58.0,0.73,61.8,2805.0
5.75,5.7,3.58,3,4,3,57.0,0.73,62.5,2805.0
5.74,5.7,3.59,4,3,3,56.0,0.72,62.8,2805.0
5.92,5.89,3.78,1,3,3,57.0,0.82,64.0,2805.0
5.89,5.94,3.69,2,3,2,60.0,0.81,62.5,2806.0
5.85,5.9,3.56,2,2,6,58.0,0.75,60.6,2806.0
5.72,5.74,3.53,4,4,2,55.0,0.7,61.6,2806.0
5.66,5.72,3.54,2,4,4,58.0,0.71,62.2,2807.0
5.84,5.9,3.52,2,4,4,57.0,0.71,60.0,2807.0
6.21,6.19,3.84,3,0,1,57.0,0.93,61.9,2807.0
5.87,5.91,3.7,2,2,3,57.0,0.8,62.8,2808.0
5.64,5.71,3.52,2,4,4,57.0,0.7,62.0,2808.0
6.16,6.09,4.07,0,3,0,59.0,1.0,66.4,2808.0
5.78,5.74,3.65,2,3,3,56.0,0.75,63.4,2808.0
5.41,5.43,3.3,4,5,5,56.0,0.58,60.9,2808.0
5.74,5.7,3.61,2,6,2,57.0,0.73,63.1,2808.0
5.85,5.79,3.67,2,4,2,59.0,0.81,63.1,2809.0
6.15,6.05,3.61,3,6,1,57.0,0.81,59.2,2809.0
5.84,5.8,3.53,3,4,2,54.0,0.71,60.7,2809.0
6.73,6.66,4.33,0,4,0,56.0,1.2,64.6,2809.0
5.63,5.7,3.5,2,4,4,56.0,0.7,61.8,2810.0
5.77,5.84,3.48,2,4,4,60.0,0.7,59.9,2810.0
5.81,5.85,3.6,4,6,1,55.0,0.74,61.7,2810.0
5.57,5.61,3.51,1,4,4,61.0,0.7,62.8,2810.0
5.84,5.93,3.69,1,3,2,57.0,0.8,62.7,2810.0
5.72,5.76,3.64,2,4,2,58.0,0.75,63.4,2811.0
5.98,5.95,3.79,2,6,2,54.0,0.83,63.5,2811.0
6.14,6.07,4.01,0,0,3,59.0,1.0,65.7,2811.0
6.21,6.06,4.18,0,1,1,56.0,0.99,68.1,2811.0
5.57,5.64,3.53,2,3,4,60.0,0.7,63.0,2812.0
5.75,5.85,3.45,2,4,3,58.0,0.7,59.5,2812.0
5.49,5.53,3.5,1,5,2,59.0,0.7,63.5,2812.0
5.63,5.69,3.49,2,4,3,58.0,0.7,61.7,2812.0
4.37,4.34,2.73,3,1,2,58.0,0.32,62.7,554.0
4.39,4.34,2.74,3,1,2,58.0,0.32,62.8,554.0
4.37,4.35,2.72,4,1,2,57.0,0.32,62.4,554.0
4.39,4.36,2.67,3,1,2,59.0,0.32,61.0,554.0
4.39,4.36,2.76,2,1,2,56.0,0.32,63.1,554.0
4.47,4.42,2.7,4,1,2,57.0,0.32,60.7,554.0
4.31,4.29,2.62,3,2,2,59.0,0.3,60.9,554.0
4.41,4.38,2.64,3,2,2,55.0,0.3,60.1,554.0
4.28,4.24,2.68,3,2,2,58.0,0.3,62.9,554.0
4.29,4.27,2.71,2,2,2,56.0,0.3,63.3,554.0
4.26,4.2,2.7,1,2,2,55.0,0.3,63.8,554.0
4.27,4.22,2.67,4,2,2,57.0,0.3,62.9,554.0
4.25,4.23,2.69,2,2,2,60.0,0.3,63.4,554.0
4.36,4.34,2.78,1,1,2,55.0,0.32,63.9,554.0
4.85,4.79,2.95,4,2,1,56.0,0.33,61.4,554.0
4.32,4.35,2.68,2,4,2,58.0,0.31,61.8,555.0
4.47,4.5,2.76,4,2,3,56.0,0.34,61.5,555.0
4.54,4.57,2.75,4,2,3,57.0,0.34,60.4,555.0
4.48,4.52,2.78,4,1,4,55.0,0.34,61.8,555.0
4.5,4.53,2.8,4,1,4,56.0,0.34,62.0,555.0
4.29,4.31,2.68,4,3,4,56.0,0.3,62.3,555.0
4.56,4.58,2.77,4,3,2,56.0,0.35,60.6,555.0
4.94,5.0,2.9,2,5,0,62.0,0.43,58.4,555.0
4.37,4.42,2.7,2,4,3,58.0,0.32,61.4,556.0
4.54,4.57,2.82,4,1,3,56.0,0.36,61.9,556.0
4.28,4.3,2.66,4,3,3,56.0,0.3,62.0,556.0
5.64,5.72,3.54,2,4,3,58.0,0.7,62.3,2812.0
5.66,5.71,3.46,2,4,3,61.0,0.7,60.9,2812.0
5.69,5.72,3.56,4,6,2,57.0,0.71,62.4,2812.0
6.72,6.67,3.68,0,0,2,61.0,0.99,55.0,2812.0
5.92,5.89,3.46,3,5,3,60.0,0.73,58.6,2812.0
5.15,5.11,3.18,4,4,6,57.0,0.51,62.0,2812.0
6.3,6.29,3.77,3,3,1,58.0,0.91,59.8,2813.0
6.0,5.95,3.79,2,5,2,55.0,0.84,63.4,2813.0
6.09,6.05,3.9,1,1,3,58.0,0.91,64.3,2813.0
5.86,5.81,3.63,3,5,2,59.0,0.76,62.2,2814.0
5.88,5.85,3.62,4,5,2,57.0,0.76,61.7,2814.0
5.86,5.83,3.57,3,5,2,59.0,0.75,61.1,2814.0
5.23,5.27,3.23,2,6,6,56.0,0.55,61.5,2815.0
5.93,6.01,3.49,2,4,1,62.0,0.76,58.5,2815.0
5.79,5.81,3.58,3,3,4,58.0,0.74,61.7,2815.0
5.75,5.81,3.49,4,2,2,56.0,0.7,60.4,2815.0
5.7,5.76,3.52,4,2,2,56.0,0.7,61.4,2815.0
5.73,5.79,3.54,4,2,2,55.0,0.7,61.5,2815.0
5.72,5.77,3.53,4,2,2,56.0,0.7,61.4,2815.0
6.08,6.04,3.94,0,0,3,56.0,0.9,65.0,2815.0
6.62,6.53,3.68,0,4,1,60.0,0.95,56.0,2815.0
6.26,6.23,3.76,3,2,1,59.0,0.89,60.2,2815.0
5.99,5.92,3.47,3,5,3,58.0,0.72,58.3,2815.0
6.73,6.65,3.55,0,5,1,63.0,0.96,53.1,2815.0
6.55,6.5,3.94,3,3,0,58.0,1.02,60.3,2815.0
5.91,5.95,3.64,2,1,5,56.0,0.78,61.4,2816.0
5.52,5.54,3.32,4,3,5,57.0,0.61,60.1,2816.0
5.61,5.69,3.58,1,6,4,55.0,0.71,63.4,2816.0
5.96,5.88,3.64,3,4,2,59.0,0.78,61.5,2816.0
6.16,6.13,3.85,4,2,1,56.0,0.87,62.7,2816.0
6.04,6.0,3.76,4,2,2,55.0,0.83,62.5,2816.0
5.78,5.73,3.53,3,5,2,56.0,0.71,61.3,2817.0
5.84,5.89,3.53,4,1,5,56.0,0.71,60.2,2817.0
5.66,5.64,3.54,4,5,3,57.0,0.71,62.7,2817.0
5.69,5.65,3.53,3,5,3,58.0,0.71,62.3,2817.0
5.48,5.52,3.38,4,4,5,56.0,0.63,61.5,2817.0
5.86,5.83,3.46,3,5,2,59.0,0.71,59.2,2817.0
5.75,5.7,3.54,3,5,2,59.0,0.71,61.8,2817.0
5.77,5.72,3.52,4,5,2,55.0,0.71,61.3,2817.0
5.77,5.73,3.53,3,5,2,58.0,0.71,61.4,2817.0
6.2,6.16,3.88,4,0,3,55.0,0.9,62.8,2817.0
5.66,5.63,3.52,3,5,3,61.0,0.7,62.4,2818.0
5.78,5.73,3.41,3,5,3,60.0,0.7,59.3,2818.0
5.64,5.6,3.54,3,5,3,60.0,0.7,63.0,2818.0
6.43,6.39,3.93,3,2,0,60.0,1.0,61.3,2818.0
6.36,6.22,3.73,3,4,1,62.0,0.86,59.3,2818.0
6.07,6.0,3.68,4,2,2,57.0,0.8,61.0,2818.0
5.66,5.61,3.54,4,5,4,57.0,0.7,62.9,2818.0
5.91,5.83,3.5,3,5,4,57.0,0.7,59.6,2818.0
5.69,5.64,3.5,3,4,3,60.0,0.7,61.8,2818.0
5.68,5.64,3.55,3,5,4,57.0,0.7,62.7,2818.0
6.34,6.12,4.08,0,2,1,62.0,1.0,65.3,2818.0
5.64,5.68,3.61,2,3,4,58.0,0.72,63.8,2819.0
5.73,5.77,3.58,4,2,4,56.0,0.72,62.3,2819.0
5.76,5.79,3.45,1,4,4,63.0,0.7,59.7,2819.0
5.97,5.95,3.83,1,4,1,60.0,0.86,64.3,2819.0
5.66,5.69,3.57,4,3,4,58.0,0.71,62.9,2820.0
5.8,5.78,3.59,4,5,2,57.0,0.75,62.0,2821.0
5.77,5.73,3.54,3,5,3,59.0,0.73,61.6,2821.0
5.2,5.21,3.22,4,5,6,55.0,0.53,61.9,2821.0
5.83,5.76,3.55,3,5,2,58.0,0.73,61.3,2821.0
5.72,5.7,3.63,1,5,2,57.0,0.73,63.6,2821.0
5.92,5.85,3.51,3,5,2,61.0,0.73,59.6,2821.0
5.77,5.68,3.56,3,5,2,59.0,0.73,62.2,2821.0
5.84,5.82,3.6,3,6,2,55.0,0.73,61.7,2821.0
5.76,5.7,3.62,2,5,2,58.0,0.73,63.2,2821.0
5.74,5.71,3.48,3,5,4,60.0,0.7,60.8,2822.0
5.84,5.8,3.51,3,5,3,59.0,0.72,60.3,2822.0
5.8,5.76,3.52,3,5,3,60.0,0.72,60.9,2822.0
5.77,5.7,3.58,3,5,3,59.0,0.72,62.4,2822.0
